date,season,team,opponent,is_home,team_score,opp_score,target_win
2018-03-29,2018,ARI,COL,1,8,2,1
2018-03-29,2018,ATL,PHI,1,8,5,1
2018-03-29,2018,LAN,SFN,1,0,1,0
2018-03-29,2018,MIA,CHN,1,4,8,0
2018-03-29,2018,NYN,SLN,1,9,4,1
2018-03-29,2018,SDN,MIL,1,1,2,0
2018-03-29,2018,BAL,MIN,1,3,2,1
2018-03-29,2018,KCA,CHA,1,7,14,0
2018-03-29,2018,OAK,ANA,1,6,5,1
2018-03-29,2018,SEA,CLE,1,2,1,1
2018-03-29,2018,TBA,BOS,1,6,4,1
2018-03-29,2018,TEX,HOU,1,1,4,0
2018-03-29,2018,TOR,NYA,1,1,6,0
2018-03-30,2018,ARI,COL,1,9,8,1
2018-03-30,2018,ATL,PHI,1,4,5,0
2018-03-30,2018,CIN,WAS,1,0,2,0
2018-03-30,2018,LAN,SFN,1,0,1,0
2018-03-30,2018,MIA,CHN,1,2,1,1
2018-03-30,2018,SDN,MIL,1,6,8,0
2018-03-30,2018,DET,PIT,1,10,13,0
2018-03-30,2018,OAK,ANA,1,1,2,0
2018-03-30,2018,TBA,BOS,1,0,1,0
2018-03-30,2018,TEX,HOU,1,5,1,1
2018-03-30,2018,TOR,NYA,1,2,4,0
2018-03-31,2018,ARI,COL,1,1,2,0
2018-03-31,2018,ATL,PHI,1,15,2,1
2018-03-31,2018,CIN,WAS,1,7,13,0
2018-03-31,2018,LAN,SFN,1,5,0,1
2018-03-31,2018,MIA,CHN,1,6,10,0
2018-03-31,2018,NYN,SLN,1,6,2,1
2018-03-31,2018,SDN,MIL,1,3,7,0
2018-03-31,2018,BAL,MIN,1,2,6,0
2018-03-31,2018,KCA,CHA,1,3,4,0
2018-03-31,2018,OAK,ANA,1,3,8,0
2018-03-31,2018,SEA,CLE,1,5,6,0
2018-03-31,2018,TBA,BOS,1,2,3,0
2018-03-31,2018,TEX,HOU,1,3,9,0
2018-03-31,2018,TOR,NYA,1,5,3,1
2018-04-01,2018,CIN,WAS,1,5,6,0
2018-04-01,2018,LAN,SFN,1,9,0,1
2018-04-01,2018,MIA,CHN,1,6,0,1
2018-04-01,2018,NYN,SLN,1,1,5,0
2018-04-01,2018,BAL,MIN,1,0,7,0
2018-04-01,2018,DET,PIT,1,0,1,0
2018-04-01,2018,DET,PIT,1,6,8,0
2018-04-01,2018,OAK,ANA,1,4,7,0
2018-04-01,2018,SEA,CLE,1,5,4,1
2018-04-01,2018,TBA,BOS,1,1,2,0
2018-04-01,2018,TEX,HOU,1,2,8,0
2018-04-01,2018,TOR,NYA,1,7,4,1
2018-04-02,2018,ARI,LAN,1,8,7,1
2018-04-02,2018,ATL,WAS,1,1,8,0
2018-04-02,2018,CIN,CHN,1,1,0,1
2018-04-02,2018,MIA,BOS,1,3,7,0
2018-04-02,2018,MIL,SLN,1,4,8,0
2018-04-02,2018,PIT,MIN,1,5,4,1
2018-04-02,2018,SDN,COL,1,4,7,0
2018-04-02,2018,ANA,CLE,1,0,6,0
2018-04-02,2018,DET,KCA,1,6,1,1
2018-04-02,2018,HOU,BAL,1,6,1,1
2018-04-02,2018,OAK,TEX,1,3,1,1
2018-04-02,2018,TOR,CHA,1,4,2,1
2018-04-03,2018,ARI,LAN,1,6,1,1
2018-04-03,2018,ATL,WAS,1,13,6,1
2018-04-03,2018,MIA,BOS,1,2,4,0
2018-04-03,2018,MIL,SLN,1,5,4,1
2018-04-03,2018,NYN,PHI,1,2,0,1
2018-04-03,2018,SDN,COL,1,8,4,1
2018-04-03,2018,SFN,SEA,1,4,6,0
2018-04-03,2018,ANA,CLE,1,13,2,1
2018-04-03,2018,DET,KCA,1,0,1,0
2018-04-03,2018,HOU,BAL,1,10,6,1
2018-04-03,2018,NYA,TBA,1,11,4,1
2018-04-03,2018,OAK,TEX,1,1,4,0
2018-04-03,2018,TOR,CHA,1,14,5,1
2018-04-04,2018,ARI,LAN,1,3,0,1
2018-04-04,2018,ATL,WAS,1,7,1,1
2018-04-04,2018,MIL,SLN,1,0,6,0
2018-04-04,2018,NYN,PHI,1,4,2,1
2018-04-04,2018,PIT,MIN,1,3,7,0
2018-04-04,2018,SDN,COL,1,2,5,0
2018-04-04,2018,SFN,SEA,1,10,1,1
2018-04-04,2018,ANA,CLE,1,3,2,1
2018-04-04,2018,HOU,BAL,1,3,2,1
2018-04-04,2018,NYA,TBA,1,7,2,1
2018-04-04,2018,OAK,TEX,1,6,2,1
2018-04-04,2018,TOR,CHA,1,3,4,0
2018-04-05,2018,MIL,CHN,1,0,8,0
2018-04-05,2018,PHI,MIA,1,5,0,1
2018-04-05,2018,PIT,CIN,1,5,2,1
2018-04-05,2018,SDN,COL,1,1,3,0
2018-04-05,2018,SLN,ARI,1,1,3,0
2018-04-05,2018,WAS,NYN,1,2,8,0
2018-04-05,2018,BOS,TBA,1,3,2,1
2018-04-05,2018,CHA,DET,1,7,9,0
2018-04-05,2018,MIN,SEA,1,4,2,1
2018-04-05,2018,NYA,BAL,1,2,5,0
2018-04-05,2018,OAK,TEX,1,3,6,0
2018-04-06,2018,COL,ATL,1,3,8,0
2018-04-06,2018,MIL,CHN,1,5,4,1
2018-04-06,2018,PIT,CIN,1,14,3,1
2018-04-06,2018,ANA,OAK,1,13,9,1
2018-04-06,2018,CLE,KCA,1,3,2,1
2018-04-06,2018,HOU,SDN,1,1,4,0
2018-04-06,2018,NYA,BAL,1,3,7,0
2018-04-06,2018,TEX,TOR,1,5,8,0
2018-04-07,2018,COL,ATL,1,3,2,1
2018-04-07,2018,MIL,CHN,1,2,5,0
2018-04-07,2018,PHI,MIA,1,20,1,1
2018-04-07,2018,PIT,CIN,1,4,7,0
2018-04-07,2018,SFN,LAN,1,7,5,1
2018-04-07,2018,SLN,ARI,1,5,3,1
2018-04-07,2018,WAS,NYN,1,2,3,0
2018-04-07,2018,ANA,OAK,1,3,7,0
2018-04-07,2018,BOS,TBA,1,10,3,1
2018-04-07,2018,CHA,DET,1,1,6,0
2018-04-07,2018,CLE,KCA,1,0,1,0
2018-04-07,2018,HOU,SDN,1,1,0,1
2018-04-07,2018,MIN,SEA,1,4,11,0
2018-04-07,2018,NYA,BAL,1,8,3,1
2018-04-07,2018,TEX,TOR,1,5,1,1
2018-04-08,2018,COL,ATL,1,0,4,0
2018-04-08,2018,MIL,CHN,1,0,3,0
2018-04-08,2018,PHI,MIA,1,3,6,0
2018-04-08,2018,PIT,CIN,1,5,0,1
2018-04-08,2018,SFN,LAN,1,1,2,0
2018-04-08,2018,SLN,ARI,1,1,4,0
2018-04-08,2018,WAS,NYN,1,5,6,0
2018-04-08,2018,ANA,OAK,1,6,1,1
