date,season,team,opponent,moneyLine,projectedRuns
2018-03-29,2018,COL,ARI,-101,4.02
2018-03-29,2018,PHI,ATL,-131,4.54
2018-03-29,2018,MIN,BAL,117,4.38
2018-03-29,2018,TB,BOS,153,2.57
2018-03-29,2018,MIA,CHC,170,2.96
2018-03-29,2018,SEA,CLE,160,2.69
2018-03-29,2018,ARI,COL,-109,4.17
2018-03-29,2018,KC,CWS,-140,4.96
2018-03-29,2018,TEX,HOU,145,3.67
2018-03-29,2018,CWS,KC,125,3.78
2018-03-29,2018,OAK,LAA,108,4.33
2018-03-29,2018,SF,LAD,256,2.11
2018-03-29,2018,CHC,MIA,-200,5.33
2018-03-29,2018,SD,MIL,116,3.7
2018-03-29,2018,BAL,MIN,-127,5.31
2018-03-29,2018,STL,NYM,123,2.91
2018-03-29,2018,TOR,NYY,151,3.39
2018-03-29,2018,LAA,OAK,-118,4.87
2018-03-29,2018,ATL,PHI,116,3.7
2018-03-29,2018,MIL,SD,-131,4.54
2018-03-29,2018,CLE,SEA,-180,4.5
2018-03-29,2018,LAD,SF,-306,5.65
2018-03-29,2018,NYM,STL,-138,3.77
2018-03-29,2018,BOS,TB,-173,4.12
2018-03-29,2018,HOU,TEX,-160,5.54
2018-03-29,2018,NYY,TOR,-171,5.36
2018-03-30,2018,COL,ARI,128,3.51
2018-03-30,2018,PHI,ATL,-109,4.69
2018-03-30,2018,TB,BOS,126,3.1
2018-03-30,2018,MIA,CHC,170,2.96
2018-03-30,2018,WSH,CIN,-215,6.14
2018-03-30,2018,ARI,COL,-143,4.71
2018-03-30,2018,PIT,DET,-129,5.07
2018-03-30,2018,TEX,HOU,150,3.6
2018-03-30,2018,OAK,LAA,104,4.41
2018-03-30,2018,SF,LAD,148,3.02
2018-03-30,2018,CHC,MIA,-200,5.33
2018-03-30,2018,SD,MIL,103,3.94
2018-03-30,2018,TOR,NYY,122,3.83
2018-03-30,2018,LAA,OAK,-114,4.79
2018-03-30,2018,ATL,PHI,-101,4.52
2018-03-30,2018,DET,PIT,119,4.11
2018-03-30,2018,MIL,SD,-113,4.24
2018-03-30,2018,LAD,SF,-163,4.65
2018-03-30,2018,BOS,TB,-141,4.1
2018-03-30,2018,HOU,TEX,-170,5.67
2018-03-30,2018,NYY,TOR,-137,4.91
2018-03-30,2018,CIN,WSH,185,3.16
2018-03-31,2018,COL,ARI,136,3.6
2018-03-31,2018,PHI,ATL,105,3.9
2018-03-31,2018,MIN,BAL,-119,4.89
2018-03-31,2018,TB,BOS,101,3.98
2018-03-31,2018,MIA,CHC,180,2.86
2018-03-31,2018,WSH,CIN,-145,4.73
2018-03-31,2018,SEA,CLE,-103,3.3
2018-03-31,2018,ARI,COL,-151,5.11
2018-03-31,2018,KC,CWS,-102,4.29
2018-03-31,2018,TEX,HOU,171,3.51
2018-03-31,2018,CWS,KC,-108,4.41
2018-03-31,2018,OAK,LAA,-103,4.57
2018-03-31,2018,SF,LAD,175,2.91
2018-03-31,2018,CHC,MIA,-210,5.42
2018-03-31,2018,SD,MIL,110,3.57
2018-03-31,2018,BAL,MIN,109,4.31
2018-03-31,2018,STL,NYM,107,3.38
2018-03-31,2018,TOR,NYY,-106,4.89
2018-03-31,2018,LAA,OAK,-107,4.65
2018-03-31,2018,ATL,PHI,-115,4.28
2018-03-31,2018,MIL,SD,-120,4.09
2018-03-31,2018,CLE,SEA,-107,3.36
2018-03-31,2018,LAD,SF,-205,5.38
2018-03-31,2018,NYM,STL,-117,3.77
2018-03-31,2018,BOS,TB,-111,4.21
2018-03-31,2018,HOU,TEX,-201,6.34
2018-03-31,2018,NYY,TOR,-104,4.84
2018-03-31,2018,CIN,WSH,130,3.48
2018-04-01,2018,MIN,BAL,103,4.43
2018-04-01,2018,TB,BOS,-114,4.53
2018-04-01,2018,MIA,CHC,178,2.88
2018-04-01,2018,WSH,CIN,-131,4.82
2018-04-01,2018,SEA,CLE,130,3.26
2018-04-01,2018,PIT,DET,101,4.23
2018-04-01,2018,PIT,DET,-121,4.65
2018-04-01,2018,TEX,HOU,140,3.96
2018-04-01,2018,OAK,LAA,116,4.17
2018-04-01,2018,SF,LAD,175,2.73
2018-04-01,2018,CHC,MIA,-208,5.4
2018-04-01,2018,BAL,MIN,-113,4.77
2018-04-01,2018,STL,NYM,-152,4.83
2018-04-01,2018,TOR,NYY,-114,4.53
2018-04-01,2018,LAA,OAK,-126,5.02
2018-04-01,2018,DET,PIT,-111,4.47
2018-04-01,2018,DET,PIT,111,4.03
2018-04-01,2018,CLE,SEA,-145,4.44
2018-04-01,2018,LAD,SF,-195,4.96
2018-04-01,2018,NYM,STL,137,3.38
2018-04-01,2018,BOS,TB,104,4.17
2018-04-01,2018,HOU,TEX,-155,5.77
2018-04-01,2018,NYY,TOR,104,4.17
2018-04-01,2018,CIN,WSH,116,3.94
2018-04-02,2018,LAD,ARI,-109,4.69
2018-04-02,2018,WSH,ATL,-121,4.93
2018-04-02,2018,HOU,BAL,-228,6.6
2018-04-02,2018,MIA,BOS,118,3.9
2018-04-02,2018,CIN,CHC,125,3.78
2018-04-02,2018,CHC,CIN,-140,4.96
2018-04-02,2018,LAA,CLE,101,3.98
2018-04-02,2018,SD,COL,-111,4.21
2018-04-02,2018,TOR,CWS,-175,5.73
2018-04-02,2018,KC,DET,101,4.23
2018-04-02,2018,BAL,HOU,198,3.19
2018-04-02,2018,DET,KC,-111,4.47
2018-04-02,2018,CLE,LAA,-111,4.21
2018-04-02,2018,ARI,LAD,-101,4.52
2018-04-02,2018,BOS,MIA,-133,4.85
2018-04-02,2018,STL,MIL,101,4.73
2018-04-02,2018,PIT,MIN,-146,4.45
2018-04-02,2018,TEX,OAK,152,3.57
2018-04-02,2018,MIN,PIT,131,3.25
2018-04-02,2018,COL,SD,101,3.98
2018-04-02,2018,MIL,STL,-111,5.0
2018-04-02,2018,OAK,TEX,-167,5.63
2018-04-02,2018,CWS,TOR,155,3.53
2018-04-02,2018,ATL,WSH,111,4.27
2018-04-03,2018,LAD,ARI,-173,4.75
2018-04-03,2018,WSH,ATL,-129,5.35
2018-04-03,2018,HOU,BAL,-250,6.43
2018-04-03,2018,MIA,BOS,230,2.27
2018-04-03,2018,LAA,CLE,-133,4.57
2018-04-03,2018,SD,COL,102,3.96
2018-04-03,2018,TOR,CWS,-185,5.84
2018-04-03,2018,KC,DET,102,4.21
2018-04-03,2018,BAL,HOU,210,2.9
2018-04-03,2018,DET,KC,-112,4.49
2018-04-03,2018,CLE,LAA,118,3.67
2018-04-03,2018,ARI,LAD,153,2.96
2018-04-03,2018,BOS,MIA,-270,5.47
2018-04-03,2018,STL,MIL,-102,4.8
2018-04-03,2018,PHI,NYM,116,3.47
2018-04-03,2018,TB,NYY,165,2.64
2018-04-03,2018,TEX,OAK,117,4.15
2018-04-03,2018,NYM,PHI,-126,4.18
2018-04-03,2018,COL,SD,-112,4.23
2018-04-03,2018,SF,SEA,-115,4.28
2018-04-03,2018,SEA,SF,105,3.9
2018-04-03,2018,MIL,STL,-108,4.93
2018-04-03,2018,NYY,TB,-185,4.54
2018-04-03,2018,OAK,TEX,-132,5.12
2018-04-03,2018,CWS,TOR,165,3.4
2018-04-03,2018,ATL,WSH,119,4.34
2018-04-04,2018,LAD,ARI,-131,4.54
2018-04-04,2018,WSH,ATL,-209,5.41
2018-04-04,2018,HOU,BAL,-166,4.99
2018-04-04,2018,LAA,CLE,135,2.98
2018-04-04,2018,SD,COL,116,3.24
2018-04-04,2018,TOR,CWS,-223,6.56
2018-04-04,2018,BAL,HOU,151,3.19
2018-04-04,2018,CLE,LAA,-150,4.2
2018-04-04,2018,ARI,LAD,116,3.7
2018-04-04,2018,STL,MIL,-105,4.87
2018-04-04,2018,PIT,MIN,-121,4.38
2018-04-04,2018,PHI,NYM,131,3.03
2018-04-04,2018,TB,NYY,227,2.6
2018-04-04,2018,TEX,OAK,145,3.47
2018-04-04,2018,NYM,PHI,-146,4.15
2018-04-04,2018,MIN,PIT,111,3.79
2018-04-04,2018,COL,SD,-131,3.97
