Team,Season,wOBA,OPS,wRC+,FIP
BOS,2018,0.34,0.792,111,3.82
NYY,2018,0.335,0.781,112,3.63
LAD,2018,0.333,0.774,111,3.6
CLE,2018,0.33,0.766,106,3.78
OAK,2018,0.329,0.764,112,4.18
HOU,2018,0.327,0.754,110,3.23
WSN,2018,0.325,0.753,101,4.15
COL,2018,0.325,0.757,88,4.06
TBR,2018,0.322,0.74,107,3.82
MIL,2018,0.322,0.747,100,4.01
CHC,2018,0.321,0.744,100,4.14
ATL,2018,0.319,0.742,96,3.99
TOR,2018,0.319,0.739,100,4.53
CIN,2018,0.317,0.729,94,4.68
STL,2018,0.316,0.73,99,3.97
TEX,2018,0.315,0.722,89,4.79
LAA,2018,0.313,0.726,98,4.36
MIN,2018,0.313,0.723,96,4.39
SEA,2018,0.313,0.722,100,4.05
PIT,2018,0.312,0.725,95,4.06
PHI,2018,0.307,0.707,91,3.83
ARI,2018,0.306,0.707,88,3.91
NYM,2018,0.305,0.701,94,3.97
CHW,2018,0.304,0.703,92,4.73
KCR,2018,0.303,0.697,87,4.66
BAL,2018,0.299,0.689,87,4.98
DET,2018,0.295,0.68,83,4.59
SDP,2018,0.294,0.677,84,4.1
SFG,2018,0.29,0.667,82,3.98
MIA,2018,0.289,0.659,83,4.57
HOU,2019,0.355,0.848,124,3.98
MIN,2019,0.347,0.832,116,4.03
NYY,2019,0.346,0.829,117,4.47
LAD,2019,0.338,0.81,110,3.73
BOS,2019,0.338,0.806,106,4.28
WSN,2019,0.336,0.796,104,4.14
ATL,2019,0.332,0.789,101,4.39
CHC,2019,0.33,0.783,100,4.25
COL,2019,0.328,0.782,87,5.23
OAK,2019,0.327,0.776,107,4.34
NYM,2019,0.325,0.77,105,4.1
MIL,2019,0.324,0.767,97,4.46
TBR,2019,0.321,0.757,104,3.65
ARI,2019,0.319,0.757,93,4.4
CLE,2019,0.319,0.756,97,4.06
TEX,2019,0.317,0.75,88,4.84
LAA,2019,0.316,0.746,96,5.04
PHI,2019,0.314,0.746,90,4.88
STL,2019,0.314,0.737,95,4.27
SEA,2019,0.314,0.74,99,5.0
PIT,2019,0.313,0.741,92,4.78
CIN,2019,0.312,0.736,85,4.23
TOR,2019,0.31,0.733,92,4.82
CHW,2019,0.309,0.728,92,4.89
BAL,2019,0.308,0.725,88,5.56
SDP,2019,0.305,0.718,89,4.22
KCR,2019,0.302,0.71,84,4.9
SFG,2019,0.295,0.694,82,4.55
DET,2019,0.29,0.682,77,4.84
MIA,2019,0.288,0.673,79,4.89
ATL,2020,0.355,0.832,120,4.42
LAD,2020,0.35,0.821,120,3.79
NYM,2020,0.347,0.807,123,4.46
SDP,2020,0.341,0.798,116,3.88
