team,season,runs_scored,runs_allowed,wins,losses,ERA
LAA,2018,721,722,80,82,4.15
LAA,2019,769,868,72,90,5.12
LAA,2020,294,321,26,34,5.09
LAA,2021,723,804,77,85,4.69
LAA,2022,623,668,73,89,3.77
LAA,2023,739,829,73,89,4.64
ARI,2018,693,644,82,80,3.72
ARI,2019,813,743,85,77,4.25
ARI,2020,269,295,25,35,4.84
ARI,2021,679,893,52,110,5.11
ARI,2022,702,740,74,88,4.25
ARI,2023,746,761,84,78,4.48
ATL,2018,759,657,90,72,3.75
ATL,2019,855,743,97,65,4.19
ATL,2020,348,288,35,25,4.41
ATL,2021,790,656,88,73,3.88
ATL,2022,789,609,101,61,3.46
ATL,2023,947,716,104,58,4.14
BAL,2018,622,892,47,115,5.18
BAL,2019,729,981,54,108,5.59
BAL,2020,274,294,25,35,4.51
BAL,2021,659,956,52,110,5.84
BAL,2022,674,688,83,79,3.97
BAL,2023,807,678,101,61,3.89
BOS,2018,876,647,108,54,3.75
BOS,2019,901,828,84,78,4.7
BOS,2020,292,351,24,36,5.58
BOS,2021,829,749,92,70,4.26
BOS,2022,735,787,78,84,4.53
BOS,2023,772,776,78,84,4.52
CHN,2018,761,645,95,68,3.65
CHN,2019,814,717,84,78,4.1
CHN,2020,265,240,34,26,3.99
CHN,2021,705,839,71,91,4.87
CHN,2022,657,731,74,88,4.0
CHN,2023,819,723,83,79,4.08
CHA,2018,656,848,62,100,4.83
CHA,2019,708,832,72,89,4.9
CHA,2020,306,246,35,25,3.81
CHA,2021,796,636,93,69,3.73
CHA,2022,686,717,81,81,3.92
CHA,2023,641,841,61,101,4.87
CIN,2018,696,819,67,95,4.63
CIN,2019,701,711,75,87,4.18
CIN,2020,243,243,31,29,3.84
CIN,2021,786,760,83,79,4.4
CIN,2022,648,815,62,100,4.86
CIN,2023,783,821,82,80,4.83
CLE,2018,818,648,91,71,3.77
CLE,2019,769,657,93,69,3.76
CLE,2020,248,209,35,25,3.29
CLE,2021,717,727,80,82,4.34
CLE,2022,698,634,92,70,3.46
CLE,2023,662,697,76,86,3.96
COL,2018,780,745,91,72,4.33
COL,2019,835,958,71,91,5.56
COL,2020,275,353,26,34,5.59
COL,2021,739,796,74,87,4.82
COL,2022,698,873,68,94,5.06
COL,2023,721,957,59,103,5.67
DET,2018,630,796,64,98,4.58
DET,2019,582,915,47,114,5.24
DET,2020,249,318,23,35,5.63
DET,2021,697,756,77,85,4.32
DET,2022,557,713,66,96,4.04
DET,2023,661,740,78,84,4.24
MIA,2018,589,809,63,98,4.76
MIA,2019,615,808,57,105,4.74
MIA,2020,263,304,31,29,4.86
MIA,2021,623,701,67,95,3.96
MIA,2022,586,676,69,93,3.86
MIA,2023,666,723,84,78,4.21
HOU,2018,797,534,103,59,3.11
HOU,2019,920,640,107,55,3.66
HOU,2020,279,275,29,31,4.31
HOU,2021,863,658,95,67,3.78
HOU,2022,737,518,106,56,2.9
HOU,2023,827,698,90,72,3.94
KCA,2018,638,833,58,104,4.94
KCA,2019,691,869,59,103,5.2
KCA,2020,248,272,26,34,4.3
KCA,2021,686,788,74,88,4.64
KCA,2022,640,810,65,97,4.7
KCA,2023,676,859,56,106,5.17
LAN,2018,804,610,92,71,3.38
LAN,2019,886,613,106,56,3.37
LAN,2020,349,213,43,17,3.02
LAN,2021,830,561,106,56,3.01
LAN,2022,847,513,111,51,2.8
LAN,2023,906,699,100,62,4.06
MIL,2018,754,659,96,67,3.73
MIL,2019,769,766,89,73,4.4
MIL,2020,247,264,29,31,4.16
MIL,2021,738,623,95,67,3.5
MIL,2022,725,688,86,76,3.83
MIL,2023,728,647,92,70,3.71
MIN,2018,738,775,78,84,4.5
MIN,2019,939,754,101,61,4.18
