date,season,team,opponent,is_home,team_score,opp_score,target_win,moneyLine,projectedRuns,runs_scored,runs_allowed,wins,losses,ERA,wOBA,OPS,wRC+,FIP,avg_exit_velocity,avg_launch_angle,avg_xwOBA
2018-03-29,2018,ARI,COL,1,8,2,1,-109.0,4.17,693,644,82,80,3.72,0.306,0.707,88,3.91,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-29,2018,ATL,PHI,1,8,5,1,116.0,3.7,759,657,90,72,3.75,0.319,0.742,96,3.99,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-29,2018,LAD,SF,1,0,1,0,-306.0,5.65,804,610,92,71,3.38,0.333,0.774,111,3.6,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-29,2018,MIA,CHC,1,4,8,0,170.0,2.96,589,809,63,98,4.76,0.289,0.659,83,4.57,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-29,2018,NYM,STL,1,9,4,1,-138.0,3.77,676,707,77,85,4.07,0.305,0.701,94,3.97,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-29,2018,SD,MIL,1,1,2,0,116.0,3.7,617,767,66,96,4.4,0.294,0.677,84,4.1,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-29,2018,BAL,MIN,1,3,2,1,-127.0,5.31,622,892,47,115,5.18,0.299,0.689,87,4.98,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-29,2018,KC,CWS,1,7,14,0,-140.0,4.96,638,833,58,104,4.94,0.303,0.697,87,4.66,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-29,2018,OAK,LAA,1,6,5,1,108.0,4.33,813,674,97,65,3.81,0.329,0.764,112,4.18,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-29,2018,SEA,CLE,1,2,1,1,160.0,2.69,677,711,89,73,4.13,0.313,0.722,100,4.05,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-29,2018,TB,BOS,1,6,4,1,153.0,2.57,716,646,90,72,3.74,0.322,0.74,107,3.82,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-29,2018,TEX,HOU,1,1,4,0,145.0,3.67,737,848,67,95,4.92,0.315,0.722,89,4.79,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-29,2018,TOR,NYY,1,1,6,0,151.0,3.39,709,832,73,89,4.85,0.319,0.739,100,4.53,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-30,2018,ARI,COL,1,9,8,1,-143.0,4.71,693,644,82,80,3.72,0.306,0.707,88,3.91,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-30,2018,ATL,PHI,1,4,5,0,-101.0,4.52,759,657,90,72,3.75,0.319,0.742,96,3.99,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-30,2018,CIN,WSH,1,0,2,0,185.0,3.16,696,819,67,95,4.63,0.317,0.729,94,4.68,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-30,2018,LAD,SF,1,0,1,0,-163.0,4.65,804,610,92,71,3.38,0.333,0.774,111,3.6,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-30,2018,MIA,CHC,1,2,1,1,170.0,2.96,589,809,63,98,4.76,0.289,0.659,83,4.57,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-30,2018,SD,MIL,1,6,8,0,103.0,3.94,617,767,66,96,4.4,0.294,0.677,84,4.1,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-30,2018,DET,PIT,1,10,13,0,119.0,4.11,630,796,64,98,4.58,0.295,0.68,83,4.59,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-30,2018,OAK,LAA,1,1,2,0,104.0,4.41,813,674,97,65,3.81,0.329,0.764,112,4.18,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-30,2018,TB,BOS,1,0,1,0,126.0,3.1,716,646,90,72,3.74,0.322,0.74,107,3.82,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-30,2018,TEX,HOU,1,5,1,1,150.0,3.6,737,848,67,95,4.92,0.315,0.722,89,4.79,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-30,2018,TOR,NYY,1,2,4,0,122.0,3.83,709,832,73,89,4.85,0.319,0.739,100,4.53,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-31,2018,ARI,COL,1,1,2,0,-151.0,5.11,693,644,82,80,3.72,0.306,0.707,88,3.91,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-31,2018,ATL,PHI,1,15,2,1,-115.0,4.28,759,657,90,72,3.75,0.319,0.742,96,3.99,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-31,2018,CIN,WSH,1,7,13,0,130.0,3.48,696,819,67,95,4.63,0.317,0.729,94,4.68,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-31,2018,LAD,SF,1,5,0,1,-205.0,5.38,804,610,92,71,3.38,0.333,0.774,111,3.6,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-31,2018,MIA,CHC,1,6,10,0,180.0,2.86,589,809,63,98,4.76,0.289,0.659,83,4.57,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-31,2018,NYM,STL,1,6,2,1,-117.0,3.77,676,707,77,85,4.07,0.305,0.701,94,3.97,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-31,2018,SD,MIL,1,3,7,0,110.0,3.57,617,767,66,96,4.4,0.294,0.677,84,4.1,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-31,2018,BAL,MIN,1,2,6,0,109.0,4.31,622,892,47,115,5.18,0.299,0.689,87,4.98,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-31,2018,KC,CWS,1,3,4,0,-102.0,4.29,638,833,58,104,4.94,0.303,0.697,87,4.66,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-31,2018,OAK,LAA,1,3,8,0,-103.0,4.57,813,674,97,65,3.81,0.329,0.764,112,4.18,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-31,2018,SEA,CLE,1,5,6,0,-103.0,3.3,677,711,89,73,4.13,0.313,0.722,100,4.05,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-31,2018,TB,BOS,1,2,3,0,101.0,3.98,716,646,90,72,3.74,0.322,0.74,107,3.82,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-31,2018,TEX,HOU,1,3,9,0,171.0,3.51,737,848,67,95,4.92,0.315,0.722,89,4.79,88.71894781048451,12.736806352394755,0.37544768766563263
2018-03-31,2018,TOR,NYY,1,5,3,1,-106.0,4.89,709,832,73,89,4.85,0.319,0.739,100,4.53,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-01,2018,CIN,WSH,1,5,6,0,116.0,3.94,696,819,67,95,4.63,0.317,0.729,94,4.68,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-01,2018,LAD,SF,1,9,0,1,-195.0,4.96,804,610,92,71,3.38,0.333,0.774,111,3.6,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-01,2018,MIA,CHC,1,6,0,1,178.0,2.88,589,809,63,98,4.76,0.289,0.659,83,4.57,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-01,2018,NYM,STL,1,1,5,0,137.0,3.38,676,707,77,85,4.07,0.305,0.701,94,3.97,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-01,2018,BAL,MIN,1,0,7,0,-113.0,4.77,622,892,47,115,5.18,0.299,0.689,87,4.98,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-01,2018,DET,PIT,1,0,1,0,-111.0,4.47,630,796,64,98,4.58,0.295,0.68,83,4.59,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-01,2018,DET,PIT,1,0,1,0,111.0,4.03,630,796,64,98,4.58,0.295,0.68,83,4.59,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-01,2018,DET,PIT,1,6,8,0,-111.0,4.47,630,796,64,98,4.58,0.295,0.68,83,4.59,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-01,2018,DET,PIT,1,6,8,0,111.0,4.03,630,796,64,98,4.58,0.295,0.68,83,4.59,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-01,2018,OAK,LAA,1,4,7,0,116.0,4.17,813,674,97,65,3.81,0.329,0.764,112,4.18,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-01,2018,SEA,CLE,1,5,4,1,130.0,3.26,677,711,89,73,4.13,0.313,0.722,100,4.05,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-01,2018,TB,BOS,1,1,2,0,-114.0,4.53,716,646,90,72,3.74,0.322,0.74,107,3.82,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-01,2018,TEX,HOU,1,2,8,0,140.0,3.96,737,848,67,95,4.92,0.315,0.722,89,4.79,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-01,2018,TOR,NYY,1,7,4,1,-114.0,4.53,709,832,73,89,4.85,0.319,0.739,100,4.53,88.71894781048451,12.736806352394755,0.37544768766563263
